title,genre
the karate kid iii,Action
blood and bone,Action
final destination 2,Horror
from dusk till dawn,Horror
big bad mama,Action
class of 1999,Fantasy
a bucket of blood,Horror
apache uprising,Western
blade runner 2049,Fantasy
the deadly mantis,Fantasy
wer,Horror
fast & furious 6,Action
lost in space,Fantasy
valentine,Horror
the hunted,Action
gun brothers,Western
love me tender,Western
dolls,Horror
duel at diablo,Western
seraphim falls,Western
white feather,Western
powder,Fantasy
the phantom planet,Fantasy
castle freak,Horror
stranded,Action
trapper county,Action
the lost world,Adventure
visions,Horror
so red the rose,Adventure
a wrinkle in time,Adventure
10.5: apocalypse,Action
yellow sky,Western
galgameth,Adventure
the child,Horror
orgy of the dead,Fantasy
stretch,Action
comanche territory,Western
uncivilized,Action
the driver,Action
7 witches,Horror
butcher boys,Horror
dune,Fantasy
a good man,Action
the black sleep,Horror
anguish,Horror
dirty dingus magee,Western
a breed apart,Adventure
rock monster,Fantasy
the magic of lassie,Adventure
only,Fantasy
the millionaire tour,Action
hollywood homicide,Action
code of honor,Action
cutaway,Action
stealth fighter,Action
annihilation,Fantasy
horns,Horror
cybertech p.d.,Action
martian land,Action
walker,Adventure
hawaii,Adventure
a good night to die,Action
cerberus,Horror
tumbleweeds,Western
siege at red river,Western
badman's territory,Western
the belko experiment,Action
viper,Action
end of watch,Action
warm bodies,Horror
wichita,Western
tarzan and his mate,Adventure
mom and dad,Horror
jonathan,Fantasy
suicide squad,Action
québec,Adventure
xxx,Action
beastly,Fantasy
antebellum,Horror
the funhouse,Horror
bird box,Fantasy
the keep,Horror
the scalphunters,Western
the vault,Horror
freerunner,Action
the santa clause 2,Fantasy
long distance,Horror
friday the 13th,Horror
the forest,Horror
the black hole,Fantasy
tarzan goes to india,Adventure
jurassic park,Adventure
chains of gold,Action
santa fe trail,Western
"war, inc.",Action
shooter,Action
relic,Horror
3:10 to yuma,Western
sierra baron,Western
fighting back,Action
salem's lot,Horror
the old dark house,Horror
the darkest minds,Fantasy
undercurrent,Action
the tin star,Western
air force one,Action
teenage caveman,Fantasy
beneath,Horror
cowboys & aliens,Action
dead man,Western
the damned thing,Horror
plunder of the sun,Adventure
duel in the sun,Western
hellbound,Action
the ape man,Horror
demonic toys,Horror
2 lava 2 lantula!,Horror
the wasp woman,Horror
ring of fire,Fantasy
dead night,Horror
the danger zone,Action
passengers,Fantasy
black patch,Western
hold your breath,Horror
the devil's tomb,Fantasy
critters 3,Horror
the pathfinder,Adventure
northwest passage,Adventure
eli,Horror
certain fury,Action
tarantula,Fantasy
candyman,Horror
final impact,Action
johnny concho,Western
species iii,Horror
bicentennial man,Fantasy
the four feathers,Adventure
the darkness,Horror
the hallelujah trail,Western
strange invaders,Fantasy
tobor the great,Fantasy
zorro the avenger,Adventure
the omega code,Fantasy
the night riders,Western
satan's cheerleaders,Horror
apache,Western
bandolero!,Western
"taza, son of cochise",Western
smosh: the movie,Adventure
halo: nightfall,Fantasy
totem,Horror
turbulent skies,Action
montana belle,Western
the searchers,Western
time toys,Adventure
pet sematary,Horror
indigenous,Horror
murder party,Horror
carrie,Horror
mongolian death worm,Action
wild women,Western
eruption: la,Action
the domestics,Fantasy
on deadly ground,Adventure
cursed,Horror
corporate animals,Horror
curse of chucky,Horror
total recall,Fantasy
empire strike back,Adventure
durango kids,Western
the three musketeers,Adventure
fast getaway,Action
dirty little billy,Western
gunsmoke in tucson,Action
c.h.u.d.,Horror
tomb raider,Action
